,arabizi,arabic,from_source
0,w,و,1
1,ya,يا,1
2,fi,في,1
3,rabi,ربي,1
4,el,ال,1
5,slim,سليم,1
6,si,سي,1
7,bravo,برافو,1
8,eli,الي,1
9,ca,سا,1
10,l,ل,1
11,kol,كل,1
12,bech,باش,1
13,alah,الله,1
14,ma,ما,1
15,m3ak,معاك,1
16,ken,كان,1
17,la,لا,1
18,3la,على,1
19,slouma,سلومة,1
20,ou,و,1
21,men,من,1
22,il,ال,1
23,ama,أما,1
24,b,ب,1
25,barcha,برشا,1
26,mala,مالا,1
27,ili,الي,1
28,enti,انتي,1
29,tounes,تونس,1
30,mabrouk,مبروك,1
31,3ala,على,1
32,ki,كي,1
33,brabi,بربي,1
34,min,من,1
35,tawa,توا,1
36,m3alem,معلم,1
37,fih,فيه,1
38,ye,يا,1
39,dima,ديما,1
40,f,ف,1
41,ena,انا,1
42,li,لي,1
43,wa,و,1
44,nchalah,انشاءالله,1
45,fil,فال,1
46,bara,برا,1
47,wala,ولا,1
48,riahi,رياحي,1
49,mouch,موش,1
50,chay,شيئ,1
51,hhhh,هههههه,1
52,ti,تي,1
53,c,س,1
54,club,كلوب,1
55,3lik,عليك,1
56,walah,والله,1
57,ana,انا,1
58,ala,علاء,1
59,fel,فال,1
60,3am,عام,1
61,m3a,معا,1
62,taw,تو,1
63,7ata,حتى,1
64,inchalah,انشاءالله,1
65,hhhhh,ههههه,1
66,chkoun,شكون,1
67,5ir,خير,1
68,kan,كان,1
69,haka,هكا,1
70,kima,كيما,1
71,nes,ناس,1
72,kif,كيف,1
73,3al,على,1
74,rajel,راجل,1
75,o,و,1
76,inti,انتي,1
77,mta3,متع,1
78,al,ال,1
79,fama,فما,1
80,a7na,احنى,1
81,bel,بال,1
82,lkol,الكل,1
83,hhhhhh,ههههههه,1
84,wlh,والله,1
85,wel,وال,1
86,ben,بن,1
87,7aja,حاجة,1
88,est,أوست,1
89,mel,مال,1
90,fik,فيك,1
91,cha3b,شعب,1
92,m,م,1
93,flous,فلوس,1
94,howa,هوا,1
95,lel,لل,1
96,hal,هال,1
97,hhh,ههه,1
98,fiha,فيها,1
99,tunis,تونس,1
100,mak,ماك,1
101,hata,حتى,1
102,bled,بلاد,1
103,belehi,باللاهي,1
104,3lina,علينا,1
105,rak,راك,1
106,hhhhhhh,ههههههه,1
107,tounis,تونس,1
108,dawla,دولة,1
109,rana,رانا,1
110,jam3iya,جمعية,1
111,hedha,هذا,1
112,ech,اش,1
113,5ater,خاتر,1
114,wela,والا,1
115,3lih,عليه,1
116,bi,ب,1
117,khir,خير,1
118,haja,حاجة,1
119,ha,ها,1
120,houwa,هوا,1
121,mara,مرة,1
122,klem,كلام,1
123,haw,هاو,1
124,lil,ليل,1
125,wenti,وانتي,1
126,ali,علي,1
127,mn,من,1
128,mech,مش,1
129,bih,بيه,1
130,houma,هوما,1
131,ahna,احنا,1
132,rahou,راهو,1
133,nchala,انشاءالله,1
134,jam3ia,جمعية,1
135,i,ي,1
136,degage,ديقاج,1
137,mela,مالا,1
138,chwaya,شويا,1
139,9bal,قبل,1
140,win,وين,1
141,moch,موش,1
142,walahi,واللاهي,1
143,hedhi,هاذي,1
144,ok,اوك,1
145,weld,ولد,1
146,nhar,نهار,1
147,kbir,كبير,1
148,lik,ليك,1
149,7ad,حد,1
150,zebi,زبي,1
151,s7i7,صحيح,1
152,feha,فيها,1
153,lol,لول,1
154,alik,عليك,1
155,chouf,شوف,1
156,bch,بش,1
157,bik,بيك,1
158,sami,سامي,1
159,enchalah,انشاءالله,1
160,m3ana,معانا,1
161,hetha,هذا,1
162,mil,مال,1
163,3bed,عباد,1
164,jomhour,جمهور,1
165,rahi,راهي,1
166,bach,باش,1
167,hiya,هيا,1
168,enta,انتا,1
169,nik,نيك,1
170,3lech,علاش,1
171,bil,بال,1
172,wa7ed,واحد,1
173,zeda,زادا,1
174,marzouki,مرزوقي,1
175,ra2is,رئيس,1
176,kifech,كيفاش,1
177,rjel,راجل,1
178,akber,اكبر,1
179,yeser,ياسر,1
180,t7eb,تحب,1
181,bos,بوس,1
182,behi,باهي,1
183,raw,راو,1
184,ila,الا,1
185,ay,اي,1
186,omek,امك,1
187,raby,ربي,1
188,taraji,ترجي,1
189,akther,اكثر,1
190,a7la,احلى,1
191,elkol,الكل,1
192,mte3,متع,1
193,tounsi,تونسي,1
194,5ali,خالي,1
195,weli,واللي,1
196,belahi,باللاهي,1
197,3asba,عصبة,1
198,ba3d,بعد,1
199,koura,كورة,1
200,mch,مش,1
201,lebled,لبلاد,1
202,yezi,يزي,1
203,3andou,عندو,1
204,kbira,كبيرة,1
205,ta7ki,تحكي,1
206,hak,هاك,1
207,bla,بلا,1
208,ta3mel,تعمل,1
209,klay,كلاي,1
210,m3ah,معاه,1
211,lefri9i,لفريقي,1
212,sayeb,سيب,1
213,enes,اناس,1
214,tfouh,تفوه,1
215,tkoun,تكون,1
216,cha3eb,شعب,1
217,fihom,فيهم,1
218,ema,اما,1
219,awel,اول,1
220,9alou,قالو,1
221,jdid,جديد,1
222,nchlh,انشاءالله,1
223,rou7ek,روحك,1
224,zid,زيد,1
225,had,حد,1
226,hethi,هاذي,1
227,rab,رب,1
228,ye5i,ياخي,1
229,wled,ولاد,1
230,3likom,عليكم,1
231,fikom,فيكم,1
232,aya,ايا,1
233,rani,راني,1
234,e5dem,اخدم,1
235,snin,سنين,1
236,hadha,هاذا,1
237,biha,بيها,1
238,alf,الف,1
239,labes,لاباس,1
240,koul,كل,1
241,ya3mel,يعمل,1
242,ach,اش,1
243,saha,صحة,1
244,pf,بف,1
245,la3bed,لعباد,1
246,sa7a,صحة,1
247,o5ra,اخرى,1
248,3andi,عندي,1
249,kolna,كلنا,1
250,twali,تولي,1
251,forza,فورزا,1
252,enty,انتي,1
253,hatha,هذا,1
254,3ana,عنا,1
255,3lihom,عليهم,1
256,nas,ناس,1
257,ya3tik,يعطيك,1
258,far5,فرخ,1
259,chnowa,شنوة,1
260,chiboub,شيبوب,1
261,lotfi,لطفي,1
